testName,cluster,baseline
13ba_usplitter_balanced-writemax(500),thor,16.784800
13bb_usplitter_stepped-stepsize(100),thor,16.858400
13bb_usplitter_stepped-stepsize(10000),thor,18.686200
13bb_usplitter_stepped-stepsize(1000000),thor,32.713400
13bb_usplitter_stepped-stepsize(20000000),thor,32.531300
13bc_usplitter_choosen-nummatches(100),thor,8.001200
13bc_usplitter_choosen-nummatches(10000),thor,8.021600
13bc_usplitter_choosen-nummatches(1000000),thor,8.362300
13bd_usplitter_steppeda-steplength(200)-stepsize(100),thor,20.842300
13bd_usplitter_steppeda-steplength(2000)-stepsize(100),thor,22.347700
13bd_usplitter_steppeda-steplength(20000)-stepsize(10000),thor,22.043600
13be_usplitter_pull_r,thor,17.308100
13bf_usplitter_pull_lr,thor,17.390800
13ca_bsplitter,thor,7.241700
14aa_ofunnel2,thor,4.707000
14ab_ofunnel8,thor,18.791600
14ba_ufunnel2,thor,10.389300
14bb_ufunnel8,thor,40.326200
15aa_soapcall-persistconnection(false),thor,10.509700
15aa_soapcall-persistconnection(false)-tls(true),thor,70.763700
15aa_soapcall-persistconnection(true),thor,8.165200
15aa_soapcall-persistconnection(true)-tls(true),thor,68.250700
15ab_soapcallidx-persistconnection(false),thor,28.494200
15ab_soapcallidx-persistconnection(false)-tls(true),thor,37.007500
15ab_soapcallidx-persistconnection(true),thor,26.246300
15ab_soapcallidx-persistconnection(true)-tls(true),thor,36.976300
15ba_parallelsoapcall-persistconnection(false),thor,5.817200
15ba_parallelsoapcall-persistconnection(false)-tls(true),thor,48.045200
15ba_parallelsoapcall-persistconnection(true),thor,5.779300
15ba_parallelsoapcall-persistconnection(true)-tls(true),thor,47.973600
15bb_parallelsoapcallidx-persistconnection(false),thor,39.135633
15bb_parallelsoapcallidx-persistconnection(false)-tls(true),thor,66.664567
15bb_parallelsoapcallidx-persistconnection(true),thor,40.121067
15bb_parallelsoapcallidx-persistconnection(true)-tls(true),thor,68.520500
16aa_bigsuper,thor,2.089000
80ab_scalesort-scale(1),thor,3.537600
80ab_scalesort-scale(16),thor,81.019333
80ab_scalesort-scale(2),thor,7.367700
80ab_scalesort-scale(4),thor,15.515600
80ab_scalesort-scale(8),thor,32.518600
perftest,thor,16267.685300
